topicId,level,lesson,english,italian,issueType
"ai-engineering",0,"ai_foundations_1","Model","Modello",near-identical-translation
"ai-engineering",0,"ai_foundations_1","Inference","Inferenza",near-identical-translation
"ai-engineering",0,"ai_foundations_1","Algorithm","Algoritmo",near-identical-translation
"ai-engineering",0,"ai_foundations_3","Iteration","Iterazione",near-identical-translation
"ai-engineering",1,"ai_data_2","Imputation","Imputazione",near-identical-translation
"ai-engineering",1,"ai_data_2","Duplicate","Duplicato",near-identical-translation
"ai-engineering",2,"ai_supervised_1","Classification","Classificazione",near-identical-translation
"ai-engineering",2,"ai_supervised_2","Regression","Regressione",near-identical-translation
"ai-engineering",2,"ai_supervised_2","Coefficient","Coefficiente",near-identical-translation
"ai-engineering",2,"ai_supervised_2","Intercept","Intercetta",near-identical-translation
"ai-engineering",2,"ai_supervised_2","Residual","Residuo",near-identical-translation
"ai-engineering",2,"ai_supervised_3","Variance","Varianza",near-identical-translation
"ai-engineering",2,"ai_supervised_3","Capacity","Capacità",near-identical-translation
"ai-engineering",3,"ai_unsupervised_1","Centroid","Centroide",near-identical-translation
"ai-engineering",3,"ai_unsupervised_1","Dendrogram","Dendrogramma",near-identical-translation
"ai-engineering",3,"ai_unsupervised_3","Support","Supporto",near-identical-translation
"ai-engineering",3,"ai_unsupervised_3","Confidence","Confidenza",near-identical-translation
"ai-engineering",3,"ai_unsupervised_3","Anomaly","Anomalia",near-identical-translation
"ai-engineering",4,"ai_neural_1","Neuron","Neurone",near-identical-translation
"ai-engineering",4,"ai_neural_1","Perceptron","Percettrone",near-identical-translation
"ai-engineering",4,"ai_neural_2","Sigmoid","Sigmoide",near-identical-translation
"ai-engineering",4,"ai_neural_2","Non-Linearity","Non-linearità",near-identical-translation
"ai-engineering",4,"ai_neural_3","Gradient","Gradiente",near-identical-translation
"ai-engineering",4,"ai_neural_4","Momentum","Momento",near-identical-translation
"ai-engineering",5,"ai_dl_1","Convolution","Convoluzione",near-identical-translation
"ai-engineering",5,"ai_dl_1","Filter","Filtro",near-identical-translation
"ai-engineering",6,"ai_nlp_3","N-Gram","N-gramma",near-identical-translation
"ai-engineering",6,"ai_nlp_4","Attention","Attenzione",near-identical-translation
"ai-engineering",6,"ai_nlp_4","Value","Valore",near-identical-translation
"ai-engineering",7,"ai_transformers_3","Autoregressive","Autoregressivo",near-identical-translation
"ai-engineering",7,"ai_transformers_3","Generation","Generazione",near-identical-translation
"ai-engineering",8,"ai_vision_3","Segmentation","Segmentazione",near-identical-translation
"ai-engineering",9,"ai_prompt_1","Context","Contesto",near-identical-translation
"ai-engineering",9,"ai_prompt_3","Citation","Citazione",near-identical-translation
"ai-engineering",9,"ai_prompt_4","Temperature","Temperatura",near-identical-translation
"ai-engineering",9,"ai_prompt_4","Guardrails","Guardrail",near-identical-translation
"ai-engineering",10,"ai_training_1","Epoch","Epoca",near-identical-translation
"ai-engineering",10,"ai_training_3","Convergence","Convergenza",near-identical-translation
"ai-engineering",11,"ai_evaluation_1","Precision","Precisione",near-identical-translation
"ai-engineering",11,"ai_evaluation_1","False Positive","Falso positivo",near-identical-translation
"ai-engineering",11,"ai_evaluation_1","False Negative","Falso negativo",near-identical-translation
"ai-engineering",11,"ai_evaluation_1","Specificity","Specificità",near-identical-translation
"ai-engineering",11,"ai_evaluation_2","Calibration","Calibrazione",near-identical-translation
"ai-engineering",12,"ai_frameworks_1","Tensor","Tensore",near-identical-translation
"ai-engineering",12,"ai_frameworks_3","Estimator","Estimatore",near-identical-translation
"ai-engineering",13,"ai_features_2","Aggregation","Aggregazione",near-identical-translation
"ai-engineering",14,"ai_generative_1","Generator","Generatore",near-identical-translation
"ai-engineering",14,"ai_generative_1","Discriminator","Discriminatore",near-identical-translation
"ai-engineering",15,"ai_mlops_1","Reproducibility","Riproducibilità",near-identical-translation
"ai-engineering",15,"ai_mlops_3","Orchestration","Orchestrazione",near-identical-translation
"ai-engineering",15,"ai_mlops_3","CI/CD for ML","CI/CD per ML",near-identical-translation
"ai-engineering",16,"ai_deployment_1","Latency","Latenza",near-identical-translation
"ai-engineering",16,"ai_deployment_4","Observability","Osservabilità",near-identical-translation
"ai-engineering",17,"ai_responsible_2","Interpretability","Interpretabilità",near-identical-translation
"ai-engineering",18,"ai_rl_1","Agent","Agente",near-identical-translation
"ai-engineering",18,"ai_rl_1","State","Stato",near-identical-translation
"ai-engineering",18,"ai_rl_1","Episode","Episodio",near-identical-translation
"ai-engineering",19,"ai_advanced_1","Expert","Esperto",near-identical-translation
"ai-engineering",19,"ai_advanced_3","Multimodal","Multimodale",near-identical-translation
"ai-engineering",19,"ai_advanced_4","Memory","Memoria",near-identical-translation
"ai-engineering",21,"ai_security_1","Defensive Distillation","Distillazione difensiva",tautological-example
"ai-engineering",21,"ai_security_1","Perturbation","Perturbazione",near-identical-translation
"ai-engineering",22,"ai_research_1","Conference","Conferenza",near-identical-translation
"ai-engineering",22,"ai_research_3","Replication","Replicazione",near-identical-translation
"ai-engineering",22,"ai_research_4","Neuro-Symbolic","Neuro-simbolico",near-identical-translation
"ai-engineering",23,"ai_pro_4","Innovation","Innovazione",near-identical-translation
"ai-engineering",21,"ai_security_1","Defensive Distillation","",duplicate-across-lessons
"ai-engineering",21,"ai_security_4","Defensive Distillation","",duplicate-across-lessons
"c-programming",0,"c_foundations_1","Variable","Variabile",near-identical-translation
"c-programming",0,"c_foundations_1","scanf","scanf",identical-translation
"c-programming",0,"c_foundations_2","Comment","Commento",near-identical-translation
"c-programming",0,"c_foundations_3","Compilation","Compilazione",near-identical-translation
"c-programming",0,"c_foundations_3","Preprocessor","Preprocessore",near-identical-translation
"c-programming",0,"c_foundations_4","Definition","Definizione",near-identical-translation
"c-programming",0,"c_foundations_4","Constant","Costante",near-identical-translation
"c-programming",0,"c_foundations_4","Block","Blocco",near-identical-translation
"c-programming",1,"c_types_2","Boolean","Booleano",near-identical-translation
"c-programming",1,"c_types_2","Precision","Precisione",near-identical-translation
"c-programming",1,"c_types_3","Enumeration","Enumerazione",near-identical-translation
"c-programming",1,"c_types_3","Octal","Ottale",near-identical-translation
"c-programming",1,"c_types_4","const","const",identical-translation
"c-programming",1,"c_types_4","static","Statico",near-identical-translation
"c-programming",1,"c_types_4","extern","Esterno",near-identical-translation
"c-programming",2,"c_control_1","Increment","Incremento",near-identical-translation
"c-programming",2,"c_control_1","Decrement","Decremento",near-identical-translation
"c-programming",2,"c_control_1","Negation","Negazione",near-identical-translation
"c-programming",2,"c_control_3","Iteration","Iterazione",near-identical-translation
"c-programming",2,"c_control_4","Complement","Complemento",near-identical-translation
"c-programming",3,"c_functions_1","Parameter","Parametro",near-identical-translation
"c-programming",3,"c_functions_1","Argument","Argomento",near-identical-translation
"c-programming",4,"c_arrays_1","Element","Elemento",near-identical-translation
"c-programming",4,"c_arrays_2","Matrix","Matrice",near-identical-translation
"c-programming",4,"c_arrays_4","String","Stringa",near-identical-translation
"c-programming",6,"c_advptr_2","Trampoline","Trampolino",near-identical-translation
"c-programming",8,"c_structs_1","Structure","Struttura",near-identical-translation
"c-programming",8,"c_structs_2","Union","Unione",near-identical-translation
"c-programming",8,"c_structs_4","Offset","offset",identical-translation
"c-programming",9,"c_memory_3","Use After Free (memory debug)","Uso dopo free (debug memoria)",tautological-example
"c-programming",9,"c_memory_4","Capacity","Capacità",near-identical-translation
"c-programming",10,"c_io_4","stdin","stdin",identical-translation
"c-programming",10,"c_io_4","stderr","stderr",identical-translation
"c-programming",11,"c_preproc_2","Stringification","Stringificazione",near-identical-translation
"c-programming",11,"c_preproc_3","Modularity","Modularità",near-identical-translation
"c-programming",12,"c_stdlib_1","atoi (stdlib)","atoi (stdlib)",identical-translation
"c-programming",12,"c_stdlib_1","exit (stdlib)","exit (stdlib)",identical-translation
"c-programming",12,"c_stdlib_3","sin","Seno",near-identical-translation
"c-programming",12,"c_stdlib_4","rand (stdlib)","rand (stdlib)",identical-translation
"c-programming",12,"c_stdlib_4","srand (stdlib)","srand (stdlib)",identical-translation
"c-programming",13,"c_errors_2","Precondition","Precondizione",near-identical-translation
"c-programming",13,"c_errors_2","Postcondition","Postcondizione",near-identical-translation
"c-programming",13,"c_errors_2","Invariant","Invariante",near-identical-translation
"c-programming",13,"c_errors_4","Signal","Segnale",near-identical-translation
"c-programming",14,"c_datastruct_1","Node","Nodo",near-identical-translation
"c-programming",14,"c_datastruct_1","List Traversal","Visita di lista",tautological-example
"c-programming",14,"c_datastruct_3","Pre-order Traversal","Visita pre-ordine",tautological-example
"c-programming",14,"c_datastruct_4","Collision","Collisione",near-identical-translation
"c-programming",14,"c_datastruct_4","Graph","Grafo",near-identical-translation
"c-programming",15,"c_algos_1","Comparator","Comparatore",near-identical-translation
"c-programming",15,"c_algos_2","Algorithmic Recursion","Ricorsione algoritmica",tautological-example
"c-programming",15,"c_algos_4","Heuristic","Euristica",near-identical-translation
"c-programming",16,"c_build_1","-Wall","-Wall",identical-translation
"c-programming",16,"c_build_2","Prerequisite","Prerequisito",near-identical-translation
"c-programming",16,"c_build_3","Library Linking","Collegamento di librerie",tautological-example
"c-programming",16,"c_build_3","Symbol","Simbolo",near-identical-translation
"c-programming",17,"c_debug_1","Continue","Continua",near-identical-translation
"c-programming",17,"c_debug_2","Heap Corruption (debugging)","Corruzione dello heap (debug)",tautological-example
"c-programming",17,"c_debug_3","UndefinedBehaviorSanitizer","UndefinedBehaviorSanitizer",identical-translation
"c-programming",18,"c_systems_2","Process","Processo",near-identical-translation
"c-programming",18,"c_systems_2","PID","PID",identical-translation
"c-programming",18,"c_systems_2","Daemon","Demone",near-identical-translation
"c-programming",18,"c_systems_3","POSIX Shared Memory","Memoria condivisa POSIX",tautological-example
"c-programming",19,"c_concurrency_3","pthread_cond_wait","pthread_cond_wait",identical-translation
"c-programming",19,"c_concurrency_3","pthread_cond_signal","pthread_cond_signal",identical-translation
"c-programming",19,"c_concurrency_3","Barrier","Barriera",near-identical-translation
"c-programming",19,"c_concurrency_4","Atomic","Atomico",near-identical-translation
"c-programming",20,"c_sockets_1","sockaddr","sockaddr",identical-translation
"c-programming",20,"c_sockets_1","Port","Porta",near-identical-translation
"c-programming",21,"c_security_1","Stack Buffer Overflow","Stack buffer overflow",identical-translation
"c-programming",21,"c_security_1","Security Bounds Checking","Controllo dei limiti per sicurezza",tautological-example
"c-programming",21,"c_security_2","Validation","Validazione",near-identical-translation
"c-programming",21,"c_security_4","Seccomp","seccomp",identical-translation
"c-programming",22,"c_embedded_1","Microcontroller","Microcontrollore",near-identical-translation
"c-programming",22,"c_embedded_2","Register","Registro",near-identical-translation
