topicId,level,lesson,english,italian,issueType
"c-programming",0,"c_foundations_1","Variable","Variabile",near-identical-translation
"c-programming",0,"c_foundations_1","scanf","scanf",identical-translation
"c-programming",0,"c_foundations_2","Comment","Commento",near-identical-translation
"c-programming",0,"c_foundations_3","Compilation","Compilazione",near-identical-translation
"c-programming",0,"c_foundations_3","Preprocessor","Preprocessore",near-identical-translation
"c-programming",0,"c_foundations_4","Definition","Definizione",near-identical-translation
"c-programming",0,"c_foundations_4","Constant","Costante",near-identical-translation
"c-programming",0,"c_foundations_4","Block","Blocco",near-identical-translation
"c-programming",1,"c_types_2","Boolean","Booleano",near-identical-translation
"c-programming",1,"c_types_2","Precision","Precisione",near-identical-translation
"c-programming",1,"c_types_3","Enumeration","Enumerazione",near-identical-translation
"c-programming",1,"c_types_3","Octal","Ottale",near-identical-translation
"c-programming",1,"c_types_4","const","const",identical-translation
"c-programming",1,"c_types_4","static","Statico",near-identical-translation
"c-programming",1,"c_types_4","extern","Esterno",near-identical-translation
"c-programming",2,"c_control_1","Increment","Incremento",near-identical-translation
"c-programming",2,"c_control_1","Decrement","Decremento",near-identical-translation
"c-programming",2,"c_control_1","Negation","Negazione",near-identical-translation
"c-programming",2,"c_control_3","Iteration","Iterazione",near-identical-translation
"c-programming",2,"c_control_4","Complement","Complemento",near-identical-translation
"c-programming",3,"c_functions_1","Parameter","Parametro",near-identical-translation
"c-programming",3,"c_functions_1","Argument","Argomento",near-identical-translation
"c-programming",4,"c_arrays_1","Element","Elemento",near-identical-translation
"c-programming",4,"c_arrays_2","Matrix","Matrice",near-identical-translation
"c-programming",4,"c_arrays_4","String","Stringa",near-identical-translation
"c-programming",6,"c_advptr_2","Trampoline","Trampolino",near-identical-translation
"c-programming",8,"c_structs_1","Structure","Struttura",near-identical-translation
"c-programming",8,"c_structs_2","Union","Unione",near-identical-translation
"c-programming",8,"c_structs_4","Offset","offset",identical-translation
"c-programming",9,"c_memory_3","Use After Free (memory debug)","Uso dopo free (debug memoria)",tautological-example
"c-programming",9,"c_memory_4","Capacity","Capacità",near-identical-translation
"c-programming",10,"c_io_4","stdin","stdin",identical-translation
"c-programming",10,"c_io_4","stderr","stderr",identical-translation
"c-programming",11,"c_preproc_2","Stringification","Stringificazione",near-identical-translation
"c-programming",11,"c_preproc_3","Modularity","Modularità",near-identical-translation
"c-programming",12,"c_stdlib_1","atoi (stdlib)","atoi (stdlib)",identical-translation
"c-programming",12,"c_stdlib_1","exit (stdlib)","exit (stdlib)",identical-translation
"c-programming",12,"c_stdlib_3","sin","Seno",near-identical-translation
"c-programming",12,"c_stdlib_4","rand (stdlib)","rand (stdlib)",identical-translation
"c-programming",12,"c_stdlib_4","srand (stdlib)","srand (stdlib)",identical-translation
"c-programming",13,"c_errors_2","Precondition","Precondizione",near-identical-translation
"c-programming",13,"c_errors_2","Postcondition","Postcondizione",near-identical-translation
"c-programming",13,"c_errors_2","Invariant","Invariante",near-identical-translation
"c-programming",13,"c_errors_4","Signal","Segnale",near-identical-translation
"c-programming",14,"c_datastruct_1","Node","Nodo",near-identical-translation
"c-programming",14,"c_datastruct_1","List Traversal","Visita di lista",tautological-example
"c-programming",14,"c_datastruct_3","Pre-order Traversal","Visita pre-ordine",tautological-example
"c-programming",14,"c_datastruct_4","Collision","Collisione",near-identical-translation
"c-programming",14,"c_datastruct_4","Graph","Grafo",near-identical-translation
"c-programming",15,"c_algos_1","Comparator","Comparatore",near-identical-translation
"c-programming",15,"c_algos_2","Algorithmic Recursion","Ricorsione algoritmica",tautological-example
"c-programming",15,"c_algos_4","Heuristic","Euristica",near-identical-translation
"c-programming",16,"c_build_1","-Wall","-Wall",identical-translation
"c-programming",16,"c_build_2","Prerequisite","Prerequisito",near-identical-translation
"c-programming",16,"c_build_3","Library Linking","Collegamento di librerie",tautological-example
