topicId,level,lesson,english,italian,issueType
"databases",0,"db_foundations_3","NOT NULL","Non nullo",near-identical-translation
"databases",0,"db_foundations_4","Disk Persistence","Persistenza su disco",tautological-example
"databases",0,"db_foundations_4","Disk","Disco",near-identical-translation
"databases",0,"db_foundations_4","Data","Dati",near-identical-translation
"databases",0,"db_foundations_4","Metadata","Metadati",near-identical-translation
"databases",1,"db_sql_1","Asterisk","Asterisco",near-identical-translation
"databases",1,"db_sql_1","AND","E (AND)",near-identical-translation
"databases",1,"db_sql_3","Pagination","Paginazione",near-identical-translation
"databases",3,"db_design_1","Entity","Entità",near-identical-translation
"databases",3,"db_design_1","Attribute","Attributo",near-identical-translation
"databases",4,"db_normalization_1","Decomposition","Decomposizione",near-identical-translation
"databases",4,"db_normalization_3","Anomaly","Anomalia",near-identical-translation
"databases",4,"db_normalization_3","Dependency Preservation","Preservazione delle dipendenze",tautological-example
"databases",4,"db_normalization_4","Pre-aggregation","Pre-aggregazione",near-identical-translation
"databases",5,"db_indexing_3","Over-indexing","Eccesso di indici",tautological-example
"databases",5,"db_indexing_4","JSON Index","JSON Index",identical-translation
"databases",5,"db_indexing_4","Heap","Heap",identical-translation
"databases",5,"db_indexing_4","IOT","IOT",identical-translation
"databases",6,"db_transactions_1","BEGIN","BEGIN",identical-translation
"databases",6,"db_transactions_1","COMMIT","COMMIT",identical-translation
"databases",6,"db_transactions_1","ROLLBACK","ROLLBACK",identical-translation
"databases",6,"db_transactions_1","SAVEPOINT","SAVEPOINT",identical-translation
"databases",6,"db_transactions_1","Auto-commit","Auto-commit",identical-translation
"databases",6,"db_transactions_1","Classic Two-Phase Commit","Two-Phase Commit classico",tautological-example
"databases",6,"db_transactions_2","ACID","ACID",identical-translation
"databases",6,"db_transactions_2","Atomicity","Atomicità",tautological-example
"databases",6,"db_transactions_2","Atomicity","Atomicità",near-identical-translation
"databases",6,"db_transactions_2","Consistency","Coerenza",tautological-example
"databases",6,"db_transactions_2","Isolation","Isolamento",tautological-example
"databases",6,"db_transactions_2","Durability","Durabilità",tautological-example
"databases",6,"db_transactions_2","Durability","Durabilità",near-identical-translation
"databases",6,"db_transactions_2","WAL","WAL",identical-translation
"databases",6,"db_transactions_3","Read Uncommitted","Read Uncommitted",tautological-example
"databases",6,"db_transactions_3","Read Uncommitted","Read Uncommitted",identical-translation
"databases",6,"db_transactions_3","Read Committed","Read Committed",tautological-example
"databases",6,"db_transactions_3","Read Committed","Read Committed",identical-translation
"databases",6,"db_transactions_3","Repeatable Read","Repeatable Read",tautological-example
"databases",6,"db_transactions_3","Repeatable Read","Repeatable Read",identical-translation
"databases",6,"db_transactions_3","Serializable","Serializable",tautological-example
"databases",6,"db_transactions_3","Serializable","Serializable",identical-translation
"databases",6,"db_transactions_3","Snapshot Isolation","Isolamento snapshot",tautological-example
"databases",6,"db_transactions_4","Postgres MVCC","MVCC di Postgres",tautological-example
"databases",6,"db_transactions_4","Optimistic Locking","Lock ottimistico",tautological-example
"databases",6,"db_transactions_4","Pessimistic Locking","Lock pessimistico",tautological-example
"databases",7,"db_sql_9","NOT EXISTS","NOT EXISTS",identical-translation
"databases",7,"db_sql_9","ANY","ANY",identical-translation
"databases",7,"db_sql_9","ALL","ALL",identical-translation
"databases",7,"db_sql_9","LATERAL JOIN","LATERAL JOIN",identical-translation
"databases",7,"db_sql_10","CTE","CTE",identical-translation
"databases",7,"db_sql_10","WITH","WITH",identical-translation
"databases",7,"db_sql_11","OVER","OVER",identical-translation
"databases",7,"db_sql_11","PARTITION BY","PARTITION BY",identical-translation
"databases",7,"db_sql_11","ROW_NUMBER","ROW_NUMBER",tautological-example
"databases",7,"db_sql_11","ROW_NUMBER","ROW_NUMBER",identical-translation
"databases",7,"db_sql_11","RANK","RANK",tautological-example
"databases",7,"db_sql_11","RANK","RANK",identical-translation
"databases",7,"db_sql_11","DENSE_RANK","DENSE_RANK",tautological-example
"databases",7,"db_sql_11","DENSE_RANK","DENSE_RANK",identical-translation
"databases",7,"db_sql_11","LAG","LAG",tautological-example
"databases",7,"db_sql_11","LAG","LAG",identical-translation
"databases",7,"db_sql_11","LEAD","LEAD",tautological-example
"databases",7,"db_sql_11","LEAD","LEAD",identical-translation
"databases",7,"db_sql_11","NTILE","NTILE",tautological-example
"databases",7,"db_sql_11","NTILE","NTILE",identical-translation
"databases",7,"db_sql_12","Trigger","Trigger",identical-translation
"databases",7,"db_sql_12","PL/pgSQL","PL/pgSQL",tautological-example
"databases",7,"db_sql_12","PL/pgSQL","PL/pgSQL",identical-translation
"databases",7,"db_sql_12","PL/SQL","PL/SQL",tautological-example
