topicId,level,lesson,english,italian,issueType
"devsecops",0,"dso_shift_left_3","Operate","Operare",near-identical-translation
"devsecops",1,"dso_ci_cd_3","GitHub Actions","GitHub Actions (automazione CI/CD GitHub)",fake-translation
"devsecops",2,"dso_sast_1","False Positive","Falso positivo",near-identical-translation
"devsecops",2,"dso_sast_1","False Negative","Falso negativo",near-identical-translation
"devsecops",2,"dso_sast_2","SonarQube","SonarQube (piattaforma analisi qualità codice)",fake-translation
"devsecops",2,"dso_sast_2","Semgrep","Semgrep (SAST a regole semantiche)",fake-translation
"devsecops",2,"dso_sast_2","CodeQL","CodeQL (analisi statica semantica GitHub)",fake-translation
"devsecops",2,"dso_sast_2","Bandit","Bandit (SAST per Python)",fake-translation
"devsecops",2,"dso_sast_2","gosec","gosec (SAST per Go)",fake-translation
"devsecops",2,"dso_sast_2","Brakeman","Brakeman (SAST per Ruby on Rails)",fake-translation
"devsecops",2,"dso_sast_2","Checkmarx","Checkmarx (SAST commerciale)",fake-translation
"devsecops",2,"dso_sast_2","Fortify","Fortify (SAST commerciale OpenText)",fake-translation
"devsecops",2,"dso_sast_2","Veracode","Veracode (SAST commerciale)",fake-translation
"devsecops",2,"dso_sast_4","Approve","Approvare",near-identical-translation
"devsecops",3,"dso_sca_2","Snyk","Snyk (piattaforma sicurezza dipendenze)",fake-translation
"devsecops",3,"dso_sca_2","Dependabot","Dependabot (aggiornamento automatico dipendenze)",fake-translation
"devsecops",3,"dso_sca_2","Renovate","Renovate (aggiornamento dipendenze configurabile)",fake-translation
"devsecops",3,"dso_sca_3","Syft","Syft (generatore SBOM)",fake-translation
"devsecops",3,"dso_sca_3","Grype","Grype (scanner di vulnerabilità immagini)",fake-translation
"devsecops",3,"dso_sca_3","Component","Componente",near-identical-translation
"devsecops",4,"dso_secrets_1","Secret","Segreto",near-identical-translation
"devsecops",4,"dso_secrets_1","Credential","Credenziale",near-identical-translation
"devsecops",4,"dso_secrets_2","HashiCorp Vault","HashiCorp Vault (gestore segreti enterprise)",fake-translation
"devsecops",4,"dso_secrets_2","AWS Secrets Manager","AWS Secrets Manager (gestore segreti AWS)",fake-translation
"devsecops",4,"dso_secrets_2","AWS Parameter Store","AWS Parameter Store (gestore parametri AWS)",fake-translation
"devsecops",4,"dso_secrets_2","Azure Key Vault","Azure Key Vault (gestore segreti Azure)",fake-translation
"devsecops",4,"dso_secrets_2","GCP Secret Manager","GCP Secret Manager (gestore segreti Google)",fake-translation
"devsecops",4,"dso_secrets_2","Doppler","Doppler (piattaforma di gestione segreti)",fake-translation
"devsecops",4,"dso_secrets_3","Gitleaks","gitleaks (scanner segreti git)",fake-translation
"devsecops",4,"dso_secrets_3","TruffleHog","TruffleHog (scanner segreti git)",fake-translation
"devsecops",4,"dso_secrets_3","detect-secrets","detect-secrets (scanner segreti Yelp)",fake-translation
"devsecops",5,"dso_dast_2","OWASP ZAP","OWASP ZAP (proxy DAST open source)",fake-translation
"devsecops",5,"dso_dast_2","Burp Suite","Burp Suite (proxy di test sicurezza web)",fake-translation
"devsecops",5,"dso_dast_2","Nuclei","Nuclei (scanner di vulnerabilità a template)",fake-translation
"devsecops",5,"dso_dast_2","Nikto","Nikto (scanner web legacy)",fake-translation
"devsecops",5,"dso_dast_2","Acunetix","Acunetix (DAST commerciale)",fake-translation
"devsecops",5,"dso_dast_2","Netsparker","Netsparker (DAST commerciale, ora Invicti)",fake-translation
"devsecops",5,"dso_dast_2","Wapiti","Wapiti (DAST open source)",fake-translation
"devsecops",5,"dso_dast_2","Arachni","Arachni (DAST modulare in Ruby)",fake-translation
"devsecops",5,"dso_dast_2","Stackhawk","StackHawk (DAST integrato in CI)",fake-translation
"devsecops",5,"dso_dast_3","AFL++","AFL++ (fuzzer evolutivo)",fake-translation
"devsecops",5,"dso_dast_3","libFuzzer","libFuzzer (fuzzer in-process LLVM)",fake-translation
"devsecops",5,"dso_dast_3","go-fuzz","go-fuzz (fuzzer per Go)",fake-translation
"devsecops",5,"dso_dast_3","OSS-Fuzz","OSS-Fuzz (fuzzing continuo Google open source)",fake-translation
"devsecops",6,"dso_container_security_1","Trivy","Trivy (scanner di vulnerabilità Aqua)",fake-translation
"devsecops",6,"dso_container_security_1","Grype","Grype (scanner di vulnerabilità immagini)",fake-translation
"devsecops",6,"dso_container_security_1","Clair","Clair (scanner immagini Quay/Red Hat)",fake-translation
"devsecops",6,"dso_container_security_1","Anchore","Anchore (piattaforma sicurezza container)",fake-translation
"devsecops",6,"dso_container_security_3","Cosign","Cosign (firma di immagini container)",fake-translation
"devsecops",6,"dso_container_security_3","Falco","Falco (rilevatore eventi runtime cloud-native)",fake-translation
"devsecops",6,"dso_container_security_4","Hadolint","Hadolint (linter Dockerfile)",fake-translation
"devsecops",6,"dso_container_security_4","Dockle","Dockle (linter sicurezza container)",fake-translation
"devsecops",6,"dso_container_security_4","kube-bench","kube-bench (benchmark CIS Kubernetes)",fake-translation
"devsecops",7,"dso_iac_security_1","Terraform","Terraform (IaC HashiCorp)",fake-translation
"devsecops",7,"dso_iac_security_1","CloudFormation","CloudFormation (IaC AWS)",fake-translation
"devsecops",7,"dso_iac_security_1","Pulumi","Pulumi (IaC con linguaggi general-purpose)",fake-translation
"devsecops",7,"dso_iac_security_1","Bicep","Bicep (DSL IaC per Azure)",fake-translation
"devsecops",7,"dso_iac_security_1","Plan","Piano",near-identical-translation
"devsecops",7,"dso_iac_security_2","Checkov","Checkov (scanner sicurezza IaC)",fake-translation
