topicId,level,lesson,english,italian,issueType
"docker-k8s",15,"dk_storage_4","emptyDir","volume effimero (emptyDir)",tautological-example
"docker-k8s",15,"dk_storage_4","Ephemeral Volume","Volume effimero",tautological-example
"docker-k8s",15,"dk_storage_4","Ephemeral Volume","Volume effimero",trivial-example
"docker-k8s",16,"dk_k8s_net_1","CNI","Container Network Interface (CNI)",tautological-example
"docker-k8s",16,"dk_k8s_net_1","CNI","Container Network Interface (CNI)",trivial-example
"docker-k8s",16,"dk_k8s_net_1","Calico","Calico (CNI Kubernetes con NetworkPolicy)",tautological-example
"docker-k8s",16,"dk_k8s_net_1","Calico","Calico (CNI Kubernetes con NetworkPolicy)",fake-translation
"docker-k8s",16,"dk_k8s_net_1","Calico","Calico (CNI Kubernetes con NetworkPolicy)",trivial-example
"docker-k8s",16,"dk_k8s_net_1","Cilium","Cilium (CNI eBPF Kubernetes)",tautological-example
"docker-k8s",16,"dk_k8s_net_1","Cilium","Cilium (CNI eBPF Kubernetes)",fake-translation
"docker-k8s",16,"dk_k8s_net_1","Cilium","Cilium (CNI eBPF Kubernetes)",trivial-example
"docker-k8s",16,"dk_k8s_net_1","Flannel","Flannel (CNI Kubernetes semplice)",tautological-example
"docker-k8s",16,"dk_k8s_net_1","Flannel","Flannel (CNI Kubernetes semplice)",fake-translation
"docker-k8s",16,"dk_k8s_net_1","Flannel","Flannel (CNI Kubernetes semplice)",trivial-example
"docker-k8s",16,"dk_k8s_net_1","Weave Net","Weave Net (CNI Kubernetes)",tautological-example
"docker-k8s",16,"dk_k8s_net_1","Weave Net","Weave Net (CNI Kubernetes)",fake-translation
"docker-k8s",16,"dk_k8s_net_1","Weave Net","Weave Net (CNI Kubernetes)",trivial-example
"docker-k8s",16,"dk_k8s_net_1","Pod CIDR","CIDR dei pod",tautological-example
"docker-k8s",16,"dk_k8s_net_1","Pod CIDR","CIDR dei pod",trivial-example
"docker-k8s",16,"dk_k8s_net_1","Service CIDR","CIDR dei service",tautological-example
"docker-k8s",16,"dk_k8s_net_1","Service CIDR","CIDR dei service",trivial-example
"docker-k8s",16,"dk_k8s_net_1","BGP","Border Gateway Protocol (BGP)",trivial-example
"docker-k8s",16,"dk_k8s_net_1","IP-in-IP","incapsulamento IP in IP (IP-in-IP)",tautological-example
"docker-k8s",16,"dk_k8s_net_1","IP-in-IP","incapsulamento IP in IP (IP-in-IP)",trivial-example
"docker-k8s",16,"dk_k8s_net_1","VXLAN","Virtual eXtensible LAN (VXLAN)",tautological-example
"docker-k8s",16,"dk_k8s_net_1","VXLAN","Virtual eXtensible LAN (VXLAN)",trivial-example
"docker-k8s",16,"dk_k8s_net_2","NetworkPolicy","policy di rete K8s (NetworkPolicy)",tautological-example
"docker-k8s",16,"dk_k8s_net_2","NetworkPolicy","policy di rete K8s (NetworkPolicy)",trivial-example
"docker-k8s",16,"dk_k8s_net_2","Ingress Rules","Regole ingress",tautological-example
"docker-k8s",16,"dk_k8s_net_2","Ingress Rules","Regole ingress",trivial-example
"docker-k8s",16,"dk_k8s_net_2","Egress Rules","Regole egress",tautological-example
"docker-k8s",16,"dk_k8s_net_2","Egress Rules","Regole egress",trivial-example
"docker-k8s",16,"dk_k8s_net_2","podSelector","selettore di pod nella policy (podSelector)",tautological-example
"docker-k8s",16,"dk_k8s_net_2","podSelector","selettore di pod nella policy (podSelector)",trivial-example
"docker-k8s",16,"dk_k8s_net_2","namespaceSelector","selettore di namespace (namespaceSelector)",tautological-example
"docker-k8s",16,"dk_k8s_net_2","namespaceSelector","selettore di namespace (namespaceSelector)",trivial-example
"docker-k8s",16,"dk_k8s_net_2","ipBlock","blocco IP nella policy (ipBlock)",tautological-example
"docker-k8s",16,"dk_k8s_net_2","ipBlock","blocco IP nella policy (ipBlock)",trivial-example
"docker-k8s",16,"dk_k8s_net_2","Default Deny","nega di default (Default Deny)",tautological-example
"docker-k8s",16,"dk_k8s_net_2","Network Segmentation","Segmentazione di rete",trivial-example
"docker-k8s",16,"dk_k8s_net_2","Cilium NetworkPolicy","CiliumNetworkPolicy",near-identical-translation
"docker-k8s",16,"dk_k8s_net_2","Cilium NetworkPolicy","CiliumNetworkPolicy",trivial-example
"docker-k8s",16,"dk_k8s_net_3","CoreDNS","DNS cluster di Kubernetes (CoreDNS)",tautological-example
"docker-k8s",16,"dk_k8s_net_3","CoreDNS","DNS cluster di Kubernetes (CoreDNS)",trivial-example
"docker-k8s",16,"dk_k8s_net_3","Cluster DNS","DNS del cluster",tautological-example
"docker-k8s",16,"dk_k8s_net_3","Cluster DNS","DNS del cluster",trivial-example
"docker-k8s",16,"dk_k8s_net_3","Search Path","Path di ricerca DNS",trivial-example
"docker-k8s",16,"dk_k8s_net_3","dnsPolicy","policy DNS del pod (dnsPolicy)",tautological-example
"docker-k8s",16,"dk_k8s_net_3","dnsPolicy","policy DNS del pod (dnsPolicy)",trivial-example
"docker-k8s",16,"dk_k8s_net_3","Corefile","configurazione di CoreDNS (Corefile)",tautological-example
"docker-k8s",16,"dk_k8s_net_3","Corefile","configurazione di CoreDNS (Corefile)",trivial-example
"docker-k8s",16,"dk_k8s_net_3","Upstream DNS","DNS upstream",trivial-example
"docker-k8s",16,"dk_k8s_net_3","Stub Domain","dominio inoltrato (Stub Domain)",tautological-example
"docker-k8s",16,"dk_k8s_net_3","Stub Domain","dominio inoltrato (Stub Domain)",trivial-example
"docker-k8s",16,"dk_k8s_net_3","Cache Plugin","Plugin di cache",trivial-example
"docker-k8s",16,"dk_k8s_net_3","NodeLocal DNSCache","cache DNS sul nodo (NodeLocal DNSCache)",tautological-example
"docker-k8s",16,"dk_k8s_net_4","kube-proxy","proxy di rete su ogni nodo (kube-proxy)",tautological-example
"docker-k8s",16,"dk_k8s_net_4","kube-proxy","proxy di rete su ogni nodo (kube-proxy)",trivial-example
"docker-k8s",16,"dk_k8s_net_4","kube-proxy","",duplicate-across-lessons
"docker-k8s",16,"dk_k8s_net_4","iptables Mode","Modalità iptables",trivial-example
"docker-k8s",16,"dk_k8s_net_4","IPVS Mode","Modalità IPVS",trivial-example
"docker-k8s",16,"dk_k8s_net_4","Connection Tracking","Tracking delle connessioni",trivial-example
"docker-k8s",16,"dk_k8s_net_4","externalTrafficPolicy","policy traffico esterno (externalTrafficPolicy)",tautological-example
"docker-k8s",16,"dk_k8s_net_4","internalTrafficPolicy","policy traffico interno (internalTrafficPolicy)",trivial-example
"docker-k8s",16,"dk_k8s_net_4","Cluster Networking Model","Modello di networking cluster",trivial-example
"docker-k8s",16,"dk_k8s_net_4","Source NAT","traduzione indirizzo sorgente (Source NAT)",trivial-example
"docker-k8s",17,"dk_helm_1","Helm","package manager per Kubernetes (Helm)",tautological-example
"docker-k8s",17,"dk_helm_1","Helm","package manager per Kubernetes (Helm)",trivial-example
"docker-k8s",17,"dk_helm_1","Chart","pacchetto Helm (Chart)",trivial-example
"docker-k8s",17,"dk_helm_1","Release","istanza installata di un chart (Release)",trivial-example
"docker-k8s",17,"dk_helm_1","Repository","archivio di chart (Repository)",trivial-example
"docker-k8s",17,"dk_helm_1","helm install","Installa chart",tautological-example
"docker-k8s",17,"dk_helm_1","helm install","Installa chart",trivial-example
"docker-k8s",17,"dk_helm_1","helm upgrade","Aggiorna release",tautological-example
"docker-k8s",17,"dk_helm_1","helm upgrade","Aggiorna release",trivial-example
"docker-k8s",17,"dk_helm_1","helm uninstall","Rimuovi release",tautological-example
"docker-k8s",17,"dk_helm_1","helm uninstall","Rimuovi release",trivial-example
"docker-k8s",17,"dk_helm_1","helm list","Lista release",tautological-example
"docker-k8s",17,"dk_helm_1","helm list","Lista release",trivial-example
"docker-k8s",17,"dk_helm_1","helm rollback","Rollback release",trivial-example
"docker-k8s",17,"dk_helm_1","helm search","Cerca chart",trivial-example
"docker-k8s",17,"dk_helm_2","Chart.yaml","metadati del chart (Chart.yaml)",tautological-example
"docker-k8s",17,"dk_helm_2","Chart.yaml","metadati del chart (Chart.yaml)",trivial-example
"docker-k8s",17,"dk_helm_2","values.yaml","valori di default del chart (values.yaml)",tautological-example
"docker-k8s",17,"dk_helm_2","values.yaml","valori di default del chart (values.yaml)",trivial-example
"docker-k8s",17,"dk_helm_2","templates/","Cartella templates",tautological-example
"docker-k8s",17,"dk_helm_2","charts/","Cartella charts",tautological-example
"docker-k8s",17,"dk_helm_2","charts/","Cartella charts",trivial-example
"docker-k8s",17,"dk_helm_2","NOTES.txt","File NOTES.txt",tautological-example
"docker-k8s",17,"dk_helm_2","NOTES.txt","File NOTES.txt",trivial-example
"docker-k8s",17,"dk_helm_2","_helpers.tpl","template helper Helm (_helpers.tpl)",tautological-example
"docker-k8s",17,"dk_helm_2","apiVersion","apiVersion del chart",trivial-example
"docker-k8s",17,"dk_helm_2","Chart Version","Versione del chart",trivial-example
"docker-k8s",17,"dk_helm_2","appVersion","appVersion / versione dell'applicazione",tautological-example
"docker-k8s",17,"dk_helm_2","appVersion","appVersion / versione dell'applicazione",fake-translation
"docker-k8s",17,"dk_helm_2","appVersion","appVersion / versione dell'applicazione",trivial-example
"docker-k8s",17,"dk_helm_2","Dependencies","Dipendenze",tautological-example
"docker-k8s",17,"dk_helm_3","Go Template","Template Go",trivial-example
"docker-k8s",17,"dk_helm_3",".Values","Oggetto .Values",tautological-example
"docker-k8s",17,"dk_helm_3",".Values","Oggetto .Values",trivial-example
"docker-k8s",17,"dk_helm_3",".Release","Oggetto .Release",tautological-example
"docker-k8s",17,"dk_helm_3",".Release","Oggetto .Release",trivial-example
"docker-k8s",17,"dk_helm_3",".Chart","Oggetto .Chart",tautological-example
"docker-k8s",17,"dk_helm_3",".Chart","Oggetto .Chart",trivial-example
"docker-k8s",17,"dk_helm_3","Pipeline","Pipeline (template)",tautological-example
"docker-k8s",17,"dk_helm_3","Pipeline","Pipeline (template)",fake-translation
"docker-k8s",17,"dk_helm_3","Pipeline","Pipeline (template)",trivial-example
"docker-k8s",17,"dk_helm_3","if/else","costrutti condizionali nei template (if/else)",trivial-example
"docker-k8s",17,"dk_helm_3","range","Ciclo range",tautological-example
"docker-k8s",17,"dk_helm_3","range","Ciclo range",trivial-example
"docker-k8s",17,"dk_helm_3","with","Blocco with",tautological-example
"docker-k8s",17,"dk_helm_3","with","Blocco with",trivial-example
"docker-k8s",17,"dk_helm_3","include","Funzione include",tautological-example
"docker-k8s",17,"dk_helm_3","include","Funzione include",trivial-example
"docker-k8s",17,"dk_helm_3","tpl Function","Funzione tpl",trivial-example
"docker-k8s",17,"dk_helm_4","Hook","aggancio del ciclo di vita Helm (Hook)",tautological-example
"docker-k8s",17,"dk_helm_4","Hook","aggancio del ciclo di vita Helm (Hook)",trivial-example
"docker-k8s",17,"dk_helm_4","pre-install","Hook pre-install",tautological-example
"docker-k8s",17,"dk_helm_4","pre-install","Hook pre-install",trivial-example
"docker-k8s",17,"dk_helm_4","post-install","Hook post-install",tautological-example
"docker-k8s",17,"dk_helm_4","post-install","Hook post-install",trivial-example
"docker-k8s",17,"dk_helm_4","pre-upgrade","Hook pre-upgrade",tautological-example
"docker-k8s",17,"dk_helm_4","pre-upgrade","Hook pre-upgrade",trivial-example
"docker-k8s",17,"dk_helm_4","pre-delete","Hook pre-delete",tautological-example
"docker-k8s",17,"dk_helm_4","pre-delete","Hook pre-delete",trivial-example
"docker-k8s",17,"dk_helm_4","Hook Weight","Peso dell'hook",tautological-example
"docker-k8s",17,"dk_helm_4","Hook Weight","Peso dell'hook",trivial-example
"docker-k8s",17,"dk_helm_4","Sub-chart","chart annidato (Sub-chart)",tautological-example
"docker-k8s",17,"dk_helm_4","helm dependency update","Aggiorna dipendenze",trivial-example
"docker-k8s",17,"dk_helm_4","Library Chart","Chart libreria",tautological-example
"docker-k8s",17,"dk_helm_4","helm package","Impacchetta chart",trivial-example
"docker-k8s",18,"dk_k8s_sec_1","RBAC","Role-Based Access Control (RBAC)",tautological-example
"docker-k8s",18,"dk_k8s_sec_1","RBAC","Role-Based Access Control (RBAC)",trivial-example
"docker-k8s",18,"dk_k8s_sec_1","RoleBinding","aggancio ruolo a soggetto K8s (RoleBinding)",tautological-example
"docker-k8s",18,"dk_k8s_sec_1","RoleBinding","aggancio ruolo a soggetto K8s (RoleBinding)",trivial-example
"docker-k8s",18,"dk_k8s_sec_1","ClusterRoleBinding","aggancio cluster-wide (ClusterRoleBinding)",tautological-example
"docker-k8s",18,"dk_k8s_sec_1","Subject","Soggetto",tautological-example
"docker-k8s",18,"dk_k8s_sec_1","Subject","Soggetto",trivial-example
"docker-k8s",18,"dk_k8s_sec_1","Verbs","Verbs (verbi)",tautological-example
"docker-k8s",18,"dk_k8s_sec_1","Verbs","Verbs (verbi)",fake-translation
"docker-k8s",18,"dk_k8s_sec_1","apiGroups","gruppi API nei ruoli (apiGroups)",tautological-example
"docker-k8s",18,"dk_k8s_sec_1","apiGroups","gruppi API nei ruoli (apiGroups)",trivial-example
"docker-k8s",18,"dk_k8s_sec_1","kubectl auth can-i","Verifica permessi",trivial-example
"docker-k8s",18,"dk_k8s_sec_1","Aggregated Role","Role aggregato",tautological-example
"docker-k8s",18,"dk_k8s_sec_2","ServiceAccount","account di servizio K8s (ServiceAccount)",tautological-example
"docker-k8s",18,"dk_k8s_sec_2","ServiceAccount","account di servizio K8s (ServiceAccount)",trivial-example
"docker-k8s",18,"dk_k8s_sec_2","automountServiceAccountToken","monta token SA (automountServiceAccountToken)",trivial-example
"docker-k8s",18,"dk_k8s_sec_2","IRSA","IAM Roles for Service Accounts (IRSA)",tautological-example
"docker-k8s",18,"dk_k8s_sec_2","IRSA","IAM Roles for Service Accounts (IRSA)",trivial-example
"docker-k8s",18,"dk_k8s_sec_2","Workload Identity","identità GCP per carichi (Workload Identity)",tautological-example
"docker-k8s",18,"dk_k8s_sec_2","Workload Identity","identità GCP per carichi (Workload Identity)",trivial-example
"docker-k8s",18,"dk_k8s_sec_2","OIDC","OpenID Connect (OIDC)",trivial-example
"docker-k8s",18,"dk_k8s_sec_2","Bound Token","Token vincolato",tautological-example
"docker-k8s",18,"dk_k8s_sec_2","Bound Token","Token vincolato",trivial-example
"docker-k8s",18,"dk_k8s_sec_2","TokenRequest API","API TokenRequest",trivial-example
"docker-k8s",18,"dk_k8s_sec_3","PodSecurityPolicy","vecchia policy di sicurezza pod (PodSecurityPolicy)",tautological-example
"docker-k8s",18,"dk_k8s_sec_3","Pod Security Standards","standard sicurezza pod (Pod Security Standards)",trivial-example
"docker-k8s",18,"dk_k8s_sec_3","privileged Profile","Profilo privileged",trivial-example
"docker-k8s",18,"dk_k8s_sec_3","restricted Profile","Profilo restricted",trivial-example
"docker-k8s",18,"dk_k8s_sec_3","securityContext","contesto di sicurezza (securityContext)",tautological-example
