topicId,level,lesson,english,italian,issueType
"docker-k8s",0,"dk_containers_1","Container","Container",identical-translation
"docker-k8s",0,"dk_containers_1","Portability","Portabilità",near-identical-translation
"docker-k8s",0,"dk_containers_2","Density","Densità",near-identical-translation
"docker-k8s",3,"dk_dockerfile_adv_4","Reproducibility","Riproducibilità",near-identical-translation
"docker-k8s",6,"dk_compose_4","Profile","Profilo",near-identical-translation
"docker-k8s",7,"dk_compose_adv_1","interval","Intervallo",near-identical-translation
"docker-k8s",7,"dk_compose_adv_2","mem_limit (legacy)","mem_limit legacy",identical-translation
"docker-k8s",7,"dk_compose_adv_3","Mount Secret","Monta secret",near-identical-translation
"docker-k8s",7,"dk_compose_adv_4","replicas","Repliche",near-identical-translation
"docker-k8s",8,"dk_registry_2","Multi-Architecture","Multi-architettura",near-identical-translation
"docker-k8s",8,"dk_registry_3","SBOM","SBOM",identical-translation
"docker-k8s",9,"dk_security_3","False Positive","Falso positivo",near-identical-translation
"docker-k8s",9,"dk_security_4","Container Escape","Container Escape",identical-translation
"docker-k8s",10,"dk_k8s_intro_1","Kubernetes","Kubernetes",identical-translation
"docker-k8s",10,"dk_k8s_intro_1","Node","Nodo",near-identical-translation
"docker-k8s",10,"dk_k8s_intro_1","Orchestration","Orchestrazione",near-identical-translation
"docker-k8s",12,"dk_workloads_3","Toleration","Tolerazione",near-identical-translation
"docker-k8s",12,"dk_workloads_4","parallelism","Parallelismo",near-identical-translation
"docker-k8s",13,"dk_services_1","Kubernetes Service","Kubernetes Service",identical-translation
"docker-k8s",13,"dk_services_1","Kubernetes Headless Service","Kubernetes Headless Service",identical-translation
"docker-k8s",13,"dk_services_1","Selector","Selettore",near-identical-translation
"docker-k8s",13,"dk_services_1","Endpoints","Endpoint",near-identical-translation
"docker-k8s",13,"dk_services_2","Annotations","Annotazioni",near-identical-translation
"docker-k8s",14,"dk_config_2","Kubernetes Secret","Kubernetes Secret",identical-translation
"docker-k8s",15,"dk_storage_3","Parameters","Parametri",near-identical-translation
"docker-k8s",16,"dk_k8s_net_1","Calico","Calico",identical-translation
"docker-k8s",16,"dk_k8s_net_1","Cilium","Cilium",identical-translation
"docker-k8s",16,"dk_k8s_net_1","Flannel","Flannel",identical-translation
"docker-k8s",16,"dk_k8s_net_1","Weave Net","Weave Net",identical-translation
"docker-k8s",16,"dk_k8s_net_2","Cilium NetworkPolicy","CiliumNetworkPolicy",near-identical-translation
"docker-k8s",17,"dk_helm_2","appVersion","appVersion",identical-translation
"docker-k8s",17,"dk_helm_3","Pipeline","Pipeline",identical-translation
"docker-k8s",18,"dk_k8s_sec_1","Verbs","Verbs",identical-translation
"docker-k8s",18,"dk_k8s_sec_4","Kyverno","Kyverno",identical-translation
"docker-k8s",19,"dk_scale_4","Scale to Zero","Scale a zero",near-identical-translation
"docker-k8s",20,"dk_mon_1","Prometheus","Prometheus",identical-translation
"docker-k8s",20,"dk_mon_2","SLI","SLI",identical-translation
"docker-k8s",20,"dk_mon_2","Latency","Latenza",near-identical-translation
"docker-k8s",20,"dk_mon_3","Loki","Loki",identical-translation
"docker-k8s",20,"dk_mon_3","Promtail","Promtail",identical-translation
"docker-k8s",20,"dk_mon_4","Jaeger","Jaeger",identical-translation
"docker-k8s",20,"dk_mon_4","OpenTelemetry","OpenTelemetry",identical-translation
"docker-k8s",20,"dk_mon_4","Span","Span",identical-translation
"docker-k8s",20,"dk_mon_4","Trace ID","Trace ID",identical-translation
"docker-k8s",20,"dk_mon_4","Sampling","Sampling",identical-translation
"docker-k8s",20,"dk_mon_4","OTLP","OTLP",identical-translation
"docker-k8s",20,"dk_mon_4","Tempo","Tempo",identical-translation
"docker-k8s",20,"dk_mon_4","Grafana","Grafana",identical-translation
"docker-k8s",21,"dk_gitops_1","GitOps","GitOps",identical-translation
"docker-k8s",21,"dk_gitops_1","Observable","Osservabile",near-identical-translation
"docker-k8s",21,"dk_gitops_1","Auditable","Auditabile",near-identical-translation
"docker-k8s",21,"dk_gitops_1","Drift","Drift",identical-translation
"docker-k8s",21,"dk_gitops_2","ArgoCD","ArgoCD",identical-translation
"docker-k8s",21,"dk_gitops_2","Application","Application",identical-translation
"docker-k8s",21,"dk_gitops_2","Source","Source",identical-translation
"docker-k8s",21,"dk_gitops_2","Destination","Destination",identical-translation
"docker-k8s",21,"dk_gitops_2","Sync","Sync",identical-translation
"docker-k8s",21,"dk_gitops_2","Auto Sync","Auto Sync",identical-translation
"docker-k8s",21,"dk_gitops_2","Self Heal","Self Heal",identical-translation
"docker-k8s",21,"dk_gitops_2","Prune","Prune",identical-translation
"docker-k8s",21,"dk_gitops_2","Sync Wave","Sync Wave",identical-translation
"docker-k8s",21,"dk_gitops_2","AppProject","AppProject",identical-translation
"docker-k8s",21,"dk_gitops_3","FluxCD","FluxCD",identical-translation
"docker-k8s",21,"dk_gitops_3","GitRepository","GitRepository",identical-translation
"docker-k8s",21,"dk_gitops_3","Kustomization","Kustomization",identical-translation
"docker-k8s",21,"dk_gitops_3","HelmRelease","HelmRelease",identical-translation
"docker-k8s",21,"dk_gitops_3","Source Controller","Source Controller",identical-translation
"docker-k8s",21,"dk_gitops_3","Notification Controller","Notification Controller",identical-translation
"docker-k8s",21,"dk_gitops_3","Flagger","Flagger",identical-translation
"docker-k8s",21,"dk_gitops_3","Image Reflector","Image Reflector",identical-translation
"docker-k8s",21,"dk_gitops_4","Progressive Delivery","Progressive Delivery",identical-translation
"docker-k8s",21,"dk_gitops_4","Canary Release","Canary Release",identical-translation
"docker-k8s",21,"dk_gitops_4","Feature Flag","Feature Flag",identical-translation
