topicId,level,lesson,english,italian,issueType
"ethical-hacking",15,"ethack_mobile_hacking_4","Magisk","Magisk (Android root)",tautological-example
"ethical-hacking",15,"ethack_mobile_hacking_4","Magisk","Magisk (Android root)",fake-translation
"ethical-hacking",15,"ethack_mobile_hacking_4","Xposed Framework","Xposed Framework (framework hooking Android)",fake-translation
"ethical-hacking",15,"ethack_mobile_hacking_4","reFlutter","reFlutter (Flutter pentest)",tautological-example
"ethical-hacking",15,"ethack_mobile_hacking_4","reFlutter","reFlutter (Flutter pentest)",fake-translation
"ethical-hacking",15,"ethack_mobile_hacking_4","Magnet AXIOM","Magnet AXIOM (mobile forensics)",fake-translation
"ethical-hacking",15,"ethack_mobile_hacking_4","apkleaks","apkleaks (secret scanner)",tautological-example
"ethical-hacking",15,"ethack_mobile_hacking_4","apkleaks","apkleaks (secret scanner)",fake-translation
"ethical-hacking",15,"ethack_mobile_hacking_4","Bytecode Viewer","Bytecode Viewer (decompiler bytecode Java/Android)",tautological-example
"ethical-hacking",15,"ethack_mobile_hacking_4","Bytecode Viewer","Bytecode Viewer (decompiler bytecode Java/Android)",fake-translation
"ethical-hacking",16,"ethack_cloud_hacking_1","S3 Bucket Enumeration","Enumerazione bucket S3",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_1","IAM Exploitation","Sfruttamento IAM",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_1","IMDSv2","IMDSv2 (mitigazione metadata)",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_1","IMDSv2","IMDSv2 (mitigazione metadata)",fake-translation
"ethical-hacking",16,"ethack_cloud_hacking_1","AssumeRole","AssumeRole (AWS STS)",fake-translation
"ethical-hacking",16,"ethack_cloud_hacking_1","Pacu","Pacu (AWS exploitation framework)",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_1","Pacu","Pacu (AWS exploitation framework)",fake-translation
"ethical-hacking",16,"ethack_cloud_hacking_1","CloudTrail","CloudTrail (logging AWS)",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_1","CloudTrail","CloudTrail (logging AWS)",fake-translation
"ethical-hacking",16,"ethack_cloud_hacking_1","aws cli","aws cli (AWS command line)",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_1","aws cli","aws cli (AWS command line)",fake-translation
"ethical-hacking",16,"ethack_cloud_hacking_2","Azure AD","Entra ID (Azure AD)",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_2","AADInternals","AADInternals (Azure AD toolkit)",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_2","AADInternals","AADInternals (Azure AD toolkit)",fake-translation
"ethical-hacking",16,"ethack_cloud_hacking_2","ROADtools","ROADtools (Azure AD recon)",tautological-example
"ethical-hacking",16,"ethack_cloud_hacking_2","ROADtools","ROADtools (Azure AD recon)",fake-translation
"ethical-hacking",16,"ethack_cloud_hacking_2","Azure Storage Enum","Enumerazione storage Azure",tautological-example
