topicId,level,lesson,english,italian,issueType
"git-vcs",0,"git_foundations_2","Author","Autore",near-identical-translation
"git-vcs",0,"git_foundations_3","Version","Versione",near-identical-translation
"git-vcs",0,"git_foundations_4","Collaboration","Collaborazione",near-identical-translation
"git-vcs",1,"git_basics_4","Documentation","Documentazione",near-identical-translation
"git-vcs",1,"git_basics_4","Sequence","Sequenza",near-identical-translation
"git-vcs",3,"git_merging_3","Continue Merge","Continua merge",near-identical-translation
"git-vcs",4,"git_remote_1","Remote","Remoto",near-identical-translation
"git-vcs",5,"git_collaboration_1","Approve PR","Approvare PR",near-identical-translation
"git-vcs",5,"git_collaboration_3","Contributor","Contributore",near-identical-translation
"git-vcs",7,"git_history_1","Continue Rebase","Continuare rebase",near-identical-translation
"git-vcs",8,"git_stash_2","Reset to Commit","Reset a commit",near-identical-translation
"git-vcs",8,"git_stash_3","Reset to HEAD","Reset a HEAD",near-identical-translation
"git-vcs",8,"git_stash_4","Stash Multiple","Stash multipli",near-identical-translation
"git-vcs",9,"git_managing_1","Continue Revert","Continuare revert",near-identical-translation
"git-vcs",12,"git_config_3","rerere.enabled","rerere.enabled",identical-translation
"git-vcs",12,"git_config_4","export-ignore","export-ignore",identical-translation
"git-vcs",15,"git_internals_4","Protocol v2","Protocollo v2",near-identical-translation
"git-vcs",16,"git_cicd_1","actions/checkout","Action checkout",near-identical-translation
"git-vcs",20,"git_security_1","Credential Helper Store","credential helper store",identical-translation
"git-vcs",21,"git_platforms_1","GitHub Enterprise","GitHub Enterprise",identical-translation
"git-vcs",21,"git_platforms_2","Pages on GitLab","Pages su GitLab",near-identical-translation
"git-vcs",21,"git_platforms_4","Migration","Migrazione",near-identical-translation
"git-vcs",23,"git_professional_3","Glossary","Glossario",near-identical-translation
"git-vcs",2,"git_branching_2","Symbolic Reference","",duplicate-across-lessons
"git-vcs",15,"git_internals_2","Symbolic Reference","",duplicate-across-lessons
"git-vcs",21,"git_platforms_1","GitHub Enterprise","",duplicate-in-lesson
"git-vcs",21,"git_platforms_1","GitHub Enterprise","",duplicate-in-lesson
