topicId,level,lesson,english,italian,issueType
"linux",0,"linux_basics_1","Terminal","Terminale",near-identical-translation
"linux",0,"linux_basics_1","Command","Comando",near-identical-translation
"linux",0,"linux_basics_1","Bash","Bash",identical-translation
"linux",0,"linux_basics_1","Argument","Argomento",near-identical-translation
"linux",0,"linux_basics_1","Option","Opzione",near-identical-translation
"linux",0,"linux_basics_2","Extension","Estensione",near-identical-translation
"linux",0,"linux_basics_3","Session","Sessione",near-identical-translation
"linux",0,"linux_basics_3","Process","Processo",near-identical-translation
"linux",0,"linux_basics_4","Manual","Manuale",near-identical-translation
"linux",0,"linux_basics_4","Verbose","Verboso",near-identical-translation
"linux",0,"linux_basics_4","Version","Versione",near-identical-translation
"linux",1,"linux_file_ops","Touch","touch",identical-translation
"linux",1,"linux_view","Cat","cat",identical-translation
"linux",1,"linux_view","Less","less",identical-translation
"linux",1,"linux_view","More","more",identical-translation
"linux",1,"linux_view","Content","Contenuto",near-identical-translation
"linux",1,"linux_search","Find","find",identical-translation
"linux",1,"linux_search","Locate","locate",identical-translation
"linux",1,"linux_search","Which","which",identical-translation
"linux",1,"linux_search","Whereis","whereis",identical-translation
"linux",1,"linux_search","Type","Tipo",near-identical-translation
"linux",2,"linux_editors","Nano","nano",identical-translation
"linux",2,"linux_editors","Vim","vim",identical-translation
"linux",2,"linux_text_proc","Grep","grep",identical-translation
"linux",2,"linux_text_proc","Pipeline","pipeline",identical-translation
"linux",2,"linux_text_proc","Cut","cut",identical-translation
"linux",2,"linux_text_proc","Awk","awk",identical-translation
"linux",2,"linux_text_util","Patch","patch",identical-translation
"linux",2,"linux_archives","Archive","Archivio",near-identical-translation
"linux",2,"linux_archives","Tarball","tarball",identical-translation
"linux",2,"linux_archives","Zip","zip",identical-translation
"linux",2,"linux_archives","Gzip","gzip",identical-translation
"linux",2,"linux_archives","Flag z","flag z",identical-translation
"linux",3,"linux_users","Members","Membri",near-identical-translation
"linux",3,"linux_users","Profile","Profilo",near-identical-translation
"linux",3,"linux_perms","Octal","Ottale",near-identical-translation
"linux",3,"linux_perms","Symbolic","Simbolico",near-identical-translation
"linux",3,"linux_special_perms","Attribute","Attributo",near-identical-translation
"linux",3,"linux_identity","Finger","finger",identical-translation
"linux",3,"linux_identity","Effective","Effettivo",near-identical-translation
"linux",3,"linux_identity","Real","Reale",near-identical-translation
"linux",4,"linux_net_basics","Protocol","Protocollo",near-identical-translation
"linux",4,"linux_net_basics","Port","Porta",near-identical-translation
"linux",4,"linux_net_basics","DNS","DNS",identical-translation
"linux",4,"linux_net_basics","Latency","Latenza",near-identical-translation
"linux",4,"linux_net_config","Route","Rotta",near-identical-translation
"linux",4,"linux_net_config","Ethernet","Ethernet",identical-translation
