topicId,level,lesson,english,italian,issueType
"system-monitoring",0,"mon_observability_1","Observability","Osservabilità",near-identical-translation
"system-monitoring",0,"mon_observability_1","Telemetry","Telemetria",near-identical-translation
"system-monitoring",0,"mon_observability_1","Metric","Metrica",near-identical-translation
"system-monitoring",0,"mon_observability_1","Incident","Incidente",near-identical-translation
"system-monitoring",0,"mon_observability_4","Aggregation","Aggregazione",near-identical-translation
"system-monitoring",0,"mon_observability_4","Time Range","Intervallo temporale",trivial-example
"system-monitoring",0,"mon_observability_4","Granularity","Granularità",near-identical-translation
"system-monitoring",1,"mon_metrics_1","CPU Usage","Utilizzo della CPU",tautological-example
"system-monitoring",1,"mon_metrics_1","Memory Usage","Utilizzo della memoria",tautological-example
"system-monitoring",1,"mon_metrics_1","OOM Killer","Killer per memoria esaurita",trivial-example
"system-monitoring",1,"mon_metrics_1","CPU Throttling","Throttling della CPU",tautological-example
"system-monitoring",1,"mon_metrics_2","Read Latency","Latenza di lettura",tautological-example
"system-monitoring",1,"mon_metrics_2","Write Latency","Latenza di scrittura",tautological-example
"system-monitoring",1,"mon_metrics_2","Write Latency","Latenza di scrittura",trivial-example
"system-monitoring",1,"mon_metrics_2","Disk Free","Spazio libero",trivial-example
"system-monitoring",1,"mon_metrics_3","Latency","Latenza",near-identical-translation
"system-monitoring",1,"mon_metrics_3","Packet Loss","Perdita di pacchetti",tautological-example
"system-monitoring",1,"mon_metrics_3","Errors per Second","Errori al secondo",tautological-example
"system-monitoring",1,"mon_metrics_4","Request Rate","Tasso di richieste",tautological-example
"system-monitoring",1,"mon_metrics_4","Error Rate","Tasso di errore",tautological-example
"system-monitoring",1,"mon_metrics_4","Error Rate","Tasso di errore",trivial-example
"system-monitoring",1,"mon_metrics_4","Response Time","Tempo di risposta",trivial-example
"system-monitoring",1,"mon_metrics_4","Queue Length","Lunghezza della coda",tautological-example
"system-monitoring",1,"mon_metrics_4","Saturation","Saturazione",near-identical-translation
"system-monitoring",1,"mon_metrics_4","Active Users","Utenti attivi",tautological-example
"system-monitoring",1,"mon_metrics_4","Active Users","Utenti attivi",trivial-example
"system-monitoring",2,"mon_logs_1","Error","Errore",near-identical-translation
"system-monitoring",2,"mon_logs_1","Critical","Critico",near-identical-translation
"system-monitoring",2,"mon_logs_1","Fatal","Fatale",near-identical-translation
"system-monitoring",2,"mon_logs_1","Severity","Severità",near-identical-translation
"system-monitoring",2,"mon_logs_2","Context","Contesto",near-identical-translation
"system-monitoring",2,"mon_logs_2","Context","Contesto",trivial-example
"system-monitoring",2,"mon_logs_2","Plain Text Log","Log in testo semplice",tautological-example
"system-monitoring",2,"mon_logs_3","Compression","Compressione",near-identical-translation
"system-monitoring",2,"mon_logs_3","Archive","Archivio",near-identical-translation
"system-monitoring",2,"mon_logs_3","Facility","Categoria (facility)",trivial-example
"system-monitoring",2,"mon_logs_3","Log File","File di log",trivial-example
"system-monitoring",2,"mon_logs_4","Verbose","Verboso",near-identical-translation
"system-monitoring",3,"mon_logs_tools_1","Elasticsearch","Elasticsearch (motore di ricerca distribuito)",fake-translation
"system-monitoring",3,"mon_logs_tools_1","Logstash","Logstash (pipeline di ingestione log)",fake-translation
"system-monitoring",3,"mon_logs_tools_1","Kibana","Kibana (interfaccia visualizzazione Elasticsearch)",fake-translation
"system-monitoring",3,"mon_logs_tools_1","KQL","KQL (Kibana Query Language)",fake-translation
"system-monitoring",3,"mon_logs_tools_2","Loki","Loki (sistema di log Grafana)",fake-translation
"system-monitoring",3,"mon_logs_tools_3","Fluentd","Fluentd (raccoglitore log unificato)",fake-translation
"system-monitoring",3,"mon_logs_tools_3","Fluent Bit","Fluent Bit (raccoglitore log leggero)",fake-translation
"system-monitoring",3,"mon_logs_tools_3","Filter","Filtro",near-identical-translation
"system-monitoring",3,"mon_logs_tools_3","Tag","Etichetta (Tag)",tautological-example
"system-monitoring",3,"mon_logs_tools_4","CloudWatch Logs","CloudWatch Logs (servizio log AWS)",fake-translation
"system-monitoring",3,"mon_logs_tools_4","Logs Insights","Logs Insights (query log AWS)",fake-translation
"system-monitoring",3,"mon_logs_tools_4","Cloud Logging","Cloud Logging (servizio log Google)",fake-translation
"system-monitoring",3,"mon_logs_tools_4","Azure Monitor Logs","Azure Monitor Logs (servizio log Azure)",fake-translation
"system-monitoring",3,"mon_logs_tools_4","Datadog Logs","Datadog Logs (servizio log Datadog)",fake-translation
"system-monitoring",3,"mon_logs_tools_4","Splunk","Splunk (piattaforma SIEM e log)",fake-translation
"system-monitoring",4,"mon_alerting_1","Annotation","Annotazione",near-identical-translation
"system-monitoring",4,"mon_alerting_1","Silence","Silenziamento",tautological-example
"system-monitoring",4,"mon_alerting_2","Acknowledge","Prendere in carico",tautological-example
"system-monitoring",4,"mon_alerting_2","Resolve","Risolvere",tautological-example
"system-monitoring",4,"mon_alerting_2","Primary","Primario",near-identical-translation
"system-monitoring",4,"mon_alerting_2","Primary","Primario",trivial-example
"system-monitoring",4,"mon_alerting_2","Secondary","Secondario",near-identical-translation
"system-monitoring",4,"mon_alerting_2","Handover","Passaggio di consegne",trivial-example
"system-monitoring",4,"mon_alerting_2","Override","Sostituzione",trivial-example
"system-monitoring",4,"mon_alerting_3","Push Notification","Notifica push",tautological-example
"system-monitoring",4,"mon_alerting_3","Mute","Silenziare",trivial-example
"system-monitoring",4,"mon_alerting_3","Quiet Hours","Ore di silenzio",tautological-example
